120.0,715.0
121.0,712.0
125.0,701.0
137.0,674.0
160.0,630.0
183.0,587.0
198.0,556.0
212.0,525.0
229.0,491.0
245.0,458.0
262.0,426.0
279.0,396.0
290.0,372.0
301.0,350.0
310.0,330.0
320.0,311.0
329.0,292.0
336.0,280.0
342.0,270.0
349.0,257.0
355.0,245.0
359.0,234.0
362.0,227.0
365.0,222.0
367.0,220.0
370.0,221.0
373.0,225.0
376.0,232.0
380.0,242.0
384.0,256.0
390.0,272.0
397.0,298.0
408.0,338.0
416.0,365.0
423.0,392.0
430.0,418.0
437.0,444.0
444.0,472.0
450.0,496.0
458.0,520.0
465.0,540.0
469.0,556.0
472.0,567.0
475.0,579.0
478.0,592.0
482.0,605.0
486.0,618.0
491.0,632.0
495.0,645.0
498.0,658.0
501.0,669.0
504.0,677.0
506.0,683.0
507.0,687.0
508.0,690.0
508.0,691.0
508.0,692.0
508.0,693.0
508.0,692.0
508.0,691.0
508.0,690.0
