121.0,1097.0
120.0,1098.0
122.0,1099.0
131.0,1100.0
151.0,1100.0
173.0,1097.0
212.0,1093.0
256.0,1088.0
294.0,1086.0
331.0,1085.0
370.0,1084.0
409.0,1083.0
444.0,1082.0
476.0,1081.0
492.0,1078.0
503.0,1074.0
511.0,1066.0
514.0,1055.0
510.0,1037.0
494.0,1006.0
467.0,964.0
441.0,931.0
411.0,892.0
378.0,847.0
346.0,800.0
316.0,753.0
288.0,710.0
263.0,674.0
242.0,644.0
226.0,619.0
213.0,598.0
207.0,588.0
203.0,581.0
203.0,573.0
209.0,567.0
220.0,564.0
240.0,562.0
275.0,565.0
315.0,571.0
348.0,577.0
384.0,582.0
419.0,588.0
454.0,590.0
488.0,591.0
521.0,590.0
552.0,590.0
571.0,590.0
582.0,590.0
590.0,591.0
594.0,591.0
595.0,592.0
594.0,592.0
593.0,593.0
