173.0,971.0
173.0,971.0
173.0,970.0
179.0,962.0
187.0,949.0
200.0,931.0
218.0,901.0
233.0,870.0
241.0,848.0
250.0,826.0
256.0,812.0
264.0,795.0
272.0,781.0
282.0,764.0
289.0,750.0
296.0,737.0
302.0,727.0
308.0,718.0
313.0,713.0
317.0,710.0
321.0,709.0
325.0,709.0
330.0,711.0
335.0,717.0
342.0,724.0
349.0,732.0
357.0,744.0
367.0,758.0
376.0,775.0
390.0,799.0
408.0,837.0
421.0,862.0
434.0,889.0
448.0,915.0
461.0,941.0
474.0,967.0
486.0,990.0
497.0,1012.0
505.0,1027.0
511.0,1038.0
516.0,1047.0
520.0,1055.0
522.0,1061.0
523.0,1064.0
523.0,1065.0
523.0,1066.0
522.0,1065.0
522.0,1065.0
